name,address1,city,zip,country,latitude,longitude,price_level,provider_rating,provider_review_count,review_stats_all_average_score,review_stats_all_count,review_stats_all_total_score,review_stats_community_average_score,review_stats_community_count,review_stats_community_total_score,review_stats_critic_average_score,review_stats_critic_count,review_stats_critic_total_score,review_stats_dave_average_score,review_stats_dave_count,review_stats_dave_total_score
Artichoke Basille's Pizza,114 10th Ave,New York,10011,US,40.7440765,-74.0065507,2,3.5,1454,7.878787879,33,260,7.878125,32,252.1,0,0,0,7.9,1,7.9
Arturo's,106 W Houston St,New York,10012,US,40.7273906,-74.0003969,2,4,623,8.066666667,9,72.6,8.285714286,7,58,6.7,1,6.7,7.9,1,7.9
Avalon Downtown Pizzeria,17 W Federal St,Youngstown,44503,US,41.100117,-80.650357,1,4,47,7.5875,8,60.7,7.657142857,7,53.6,0,0,0,7.1,1,7.1
B & W Deli & Pizzeria,373 W 34th St,New York,10001,US,40.7534553,-73.996024,1,3,30,5.6,4,22.4,5.4,3,16.2,0,0,0,6.2,1,6.2
B Side Pizza & Wine Bar,370 W 51st St,New York,10019,US,40.7638919,-73.9882472,2,4.5,977,6.35,2,12.7,6.4,1,6.4,0,0,0,6.3,1,6.3
Backroom Pizza,605 Church St,Ann Arbor,48104,US,42.274698,-83.734342,1,3.5,41,4.9,8,39.2,5.428571429,7,38,0,0,0,1.2,1,1.2
Baker's Pizza,201 Avenue A,New York,10009,US,40.7294404,-73.9812861,1,4.5,175,7.290909091,11,80.2,7.29,10,72.9,0,0,0,7.3,1,7.3
Baldie's Pizza & Subs,78 Main St,Lakeville,2347,US,41.8693793,-70.9320635,2,3.5,35,6.533333333,3,19.6,6.7,2,13.4,0,0,0,6.2,1,6.2
BAR,254 Crown St,New Haven,6511,US,41.3061295,-72.9303245,2,4,1012,7.887755102,49,386.5,7.897916667,48,379.1,0,0,0,7.4,1,7.4
Basile's Pizza,89 Washington St,Hoboken,7030,US,40.7369733,-74.0307767,1,3,238,7.6,39,296.4,7.586842105,38,288.3,0,0,0,8.1,1,8.1
BazbeauxPizza,333 Massachusetts Ave,Indianapolis,46204,US,39.7716299,-86.153288,2,4,568,5.222222222,9,47,5.2375,8,41.9,0,0,0,5.1,1,5.1
Bearno's By the Bridge,131 W Main St,Louisville,40202,US,38.2565366,-85.7530056,2,3,116,6.45,4,25.8,6.1,2,12.2,7.2,1,7.2,6.4,1,6.4
Bella Blu,967 Lexington Ave,New York,10021,US,40.7692221,-73.9628197,3,3.5,212,7.8,2,15.6,8.4,1,8.4,0,0,0,7.2,1,7.2
